Rumor,Lable,sentiment
"Context.
","conspiracy
",
"Dems Are Lying About Coronavirus and Trump Slashing CDC Even the APs Calling Them Out.
","unreliable
",
"#China Orders Owners Of Closed Factories To Boost Electricity Usage, Pretend #Economy Is Back To Normal.
","conspiracy
",
"#Australia has reported its first death due to the coronavirus #BreakingNews #Coronavirus…
","conspiracy
",
"Coronavirus and NSA Spying: Together at Last?
","conspiracy
",
"The trail of the Italian coronavirus super-spreader revealed.
","unreliable
",
"As part of its virus-suppression efforts, South Korea has sent its troops to disinfect the streets of Daegu.
","conspiracy
",
"Coronavirus Con: Vaccinate, Depopulate & Chip Mankind ""An alarming proportion would be eq…
","conspiracy
",
"World News (Feb 29, 2020 EDN): “Momentous Day”: US, Taliban Sign Peace Deal To End 18 Year War #BreakingNews.
","conspiracy
",
"Trump Says the Coronavirus Is the Democrats New Hoax #NewsandPolitics.
","political/bias
",
"Leaked Internal Reports Show Chinas Main Priorities Are Controlling Public Opinion, Social Stability.
","conspiracy
",
"Arsenal and Tottenham take safety measures because of coronavirus #AFC #THFC.
","unreliable
",
"This is what he said word for word, Nick.
","political/bias
",
"I get it now.
","unreliable
",
"Why is this so upsetting? Liberals call men “women” all the time and no one blinks an eye. 🤷🏼‍♀️😏.
","unreliable
",
"Coronavirus could be 1,000 times more infectious than SARS, scientists warn.
","unreliable
",
"Everyone calm down...please.
","unreliable
",
"Heres what he REALLY said! 👇👇.
","political/bias
",
"Sanders Mocks Pence & Millions of Americans Christian Faith with Offensive Coronavirus Comment.
","unreliable
",
"Trump And The Politics Of Coronavirus.
","conspiracy
",
"The Countries Best And Worst Prepared For An Epidemic.
","conspiracy
",
"Petition Calls on Trump to Impose Strict Border Control in Response to #Coronavirus.
","conspiracy
",
"CDC Takes Responsibility for Dementia Donnies Huge Mistake Identifying First Coronavirus as a Woman.
","unreliable
",
"Islamic Republic is Now Ground Zero for Deadly Coronavirus - Frontpagemag.
","political/bias
",
"Democrats Demand Open Borders for the Coronavirus - Frontpagemag.
","political/bias
",
"“This Is A Nightmare”: London’s Worst-Case Plan For #Coronavirus Includes Giant Morgue In Hyde Park.
","conspiracy
",
"Liverpool could miss out on title if coronavirus cuts league short.
","unreliable
",
"Watch: President Trump Considers Closing Southern Border Over #Coronavirus Outbreak.
","conspiracy
",
"#Covid19 Nigerian officials offered some more details about their first case on Friday firs…
","conspiracy
",
"Rush Limbaugh Scorches Media For Politicizing #Coronavirus: ‘You Ought To Damn Well Be Ashamed’.
","conspiracy
",
"Shock Video: Food Hoarding Begins at Costco in New York Over #Coronavirus Fears.
","conspiracy
",
"Survey: Many American beer drinkers are avoiding Corona due to the spread of #coronavirus.
","unreliable
",
"#Coronavirus Fears Continue to Spark Panic Buying in U.S., UK, Japan & New Zealand.
","conspiracy
",
"Lebanese Students Sprayed With Disinfectant To Prevent #Coronavirus.
","conspiracy
",
"5g is not about speed.
","conspiracy
",
"Corona-Crash Sparks Fastest ‘Correction’ In History On Record-Breaking Volume.
","unreliable
",
"Pompeo adds insult to injury by dangling coronavirus ‘help’ in front of sanctions-stricken Iran — RT World News.
","unreliable
",
"STOP LYING! Heres what he REALLY said 👇👇👇.
","political/bias
",
"Once again, Bill Maher proves what a flaming idiot he is.
","unreliable
",
"We are talking about a site pushing the idea that Covid was made by Canada and stolen by China.
","conspiracy
",
"Awesome. 🤦‍♂️.
","unreliable
",
"Pope Francis cancels official engagements for third day in a row.
","unreliable
",
"its called 3 squeak. 2020 is the year the world wakes up to China.
","unreliable
",
"Everyone panic!!!🙄.
","unreliable
",
"Coronavirus death toll in Italy jumps to 29 as number of infected passes 1,000 — RT Newsline.
","unreliable
",
"And how much #Coronavirus ?
","unreliable
",
"Illinois Reports Another ""Presumptive"" Coronavirus Case.
","conspiracy
",
"No he didnt! You freaking LIAR! Heres what he REALLY said 👇👇.
","political/bias
",
"Fact Check: Did Trump call the coronavirus a hoax at his South Carolina rally?
","political/bias
",
"Instapundit » » WELL, THAT’S NOT GOOD: Washington State Is Investigating Potential Outbreak at Facility. Washington.
","political/bias
",
"Republicans Walk Out of Coronavirus Briefing After Democrats Play Politics With the Crisis News and Politics.
","political/bias
",
"BREAKING: Biden Projected To Win South Carolina *OldGroperJoe #Deranged #Disoriented…
","political/bias
",
"The great panic of 2020 is underway in the US #CoronaVirus.
","conspiracy
",
"So is Trump worried that he’s going to catch the coronavirus? I loved that part!!
","political/bias
",
"Trade War Progress: China Caves, Lifts Ban on US Poultry Products.
","unreliable
",
"Workers in China Discover Thousands of Sealed #Coronavirus COVID-19 Corpses in Body Bags.
","unreliable
",
"#COVID2019 humor... Could sure use some about now...
","unreliable
",
"Trump And The Politics Of Coronavirus - #zerohedge #FreeZero.
","conspiracy
",
"17-day-old baby girl recovers from coronavirus without medication.
","unreliable
",
"COVID-19 containment loophole: flee China other countries.
","unreliable
",
"CDC confirms second U.S. coronavirus case of unknown origin.
","unreliable
",
"COVID-19: Chinese students dislike online classes.
","unreliable
",
"COVID-19: where are N95 masks? CCP wears it under another mask.
","unreliable
",
"5/13 Successful Treatments: ...
","conspiracy
",
"They received a pay rise #StandWithHongKong #Coronavirus #PoliceBrutality.
","unreliable
",
"Learning experience value added knowledge.
","unreliable
",
"Thats me fucked then.
","unreliable
",
"Men scramble to find a personality after CDC suggests shaving beard to stop coronavirus.
","unreliable
",
"The sky is falling...
","unreliable
",
"Instapundit » » “ADMIT:” Trump’s Decisive Actions Helped Save Lives During Coronavirus Epidemic, Experts Admit….
","political/bias
",
"The real problem with this coronavirus mess.
","political/bias
",
"Hollywood studios create coronavirus strategy teams to assess the business ramifications Daily Mail Online.
","unreliable
",
"Trey Gowdy Sideswipes Adam Schiff – Calls On Congress To Cut Out The ‘Epidemic Leaker’.
","unreliable
",
"Hungary prepares itself for a two-front war invaders from the south and coronavirus - Voice of Europe.
","unreliable
",
"CDC official: DO NOT get prepared, don’t buy masks, food, cleaning supplies or anything A PC puppet and MORON!!!
","conspiracy
",
"New York Stock Exchange considers shutting trading floor amid #coronavirus fears #business…
","unreliable
",
"IT’S LIKE BEFORE A BLIZZARD: Coronavirus fears empty store shelves of toilet paper, bottled water, m…
","political/bias
",
"of course its man made.
","conspiracy
",
"Potential shutdown.
","unreliable
",
"Nothing CNN does surprises me any more but this is a bit far-fetched and unbelievable.
","unreliable
",
"... well, they have the first cure for the patient also the fastest one among the other country. i.
","conspiracy
",
"WT actual F Over 50 staff and residents at nursing home have coronavirus symptoms #SmartNews.
","unreliable
",
"The fact is we are the best/most prepared The United States was named as the c…
","conspiracy
",
"Rods SISTER??????
","unreliable
",
"Dems Are Lying About Coronavirus & Trump Slashing CDC, And Even the AP’s Calling Them Out.
","unreliable
",
"Wow. Just wow. Israel is undoubtedly Gods sweetheart.
","unreliable
",
"So a 17 day old baby recovers with no meds from the Corona Virus Yet the whole world is panicking.
","unreliable
",
"Did 1981 Dean Koontz thriller The Eyes Of Darkness predict the coronavirus outbreak?
","unreliable
",
"Mother Natures way of saying here have your pollution back.
","unreliable
",
"The real problem with this coronavirus mess - Palmer Report.
","political/bias
",
"Trump Blasts Democrats For ‘Wasting Time’ Amid Growing Coronavirus Threat #news #politics…
","political/bias
",
"81% of Korean religious cult members test positive for coronavirus.
","conspiracy
",
"Amid #coronavirus #COVID2019 #COVID.
","unreliable
",
"AP Fact Check: Democrats Coronavirus Attacks Against Trump Are Inaccurate.
","unreliable
",
"Lets play, bitches.
","political/bias
",
"crushes it once again.
","political/bias
",
"Men scramble to find a personality after CDC suggests shaving beard to stop #coronavirus #satire.
","unreliable
",
"Numbers Show Coronavirus Appears Far Less Deadly Than Flu Media Keep Promoting Panic.
","unreliable
",
"Heres Why I Dont Really Trust The Official American Coronavirus Numbers.
","conspiracy
",
"One big system to control the minds of men.
","conspiracy
",
"Was the 2020 Wuhan Coronavirus an engineered biological attack on China by America for geopolitical advantage?
","political/bias
",
"Boris Johnson could SUSPEND Parliament over coronavirus and rule with emergency powers.
","unreliable
",
"So wrong, all the time.
","political/bias
",
"The Coronavirus Vaccine as a Source of Dangerous Invasion.
","conspiracy
",
"China Reports 35 New Deaths And 573 New Cases Of Novel Coronavirus.
","unreliable
",
"Coronavirus spreads to Ecuador and the Republic of Ireland, both from passengers who flew commercial airlines.
","conspiracy
",
"Interview: Author of US BioWeapons Act Believes The WHO & China Are Lying About The Coronavirus - Activist Post.
","conspiracy
",
"Mark Levin Blasts Dems For Impeachment Amid Coronavirus.
","political/bias
",
"BD Holly 🖋️ The real problem with this coronavirus mess.
","political/bias
",
"Over 60s advised to avoid crowds and public transport over coronavirus fears.
","unreliable
",
"#JackieChan says hes safe from #coronavirus and not under quarantine.
","unreliable
",
"New York Stock Exchange considers shutting its trading floor amid #coronavirus concerns .
","unreliable
",
"ICYMI Chinese Scientists Find Coronavirus Did Not Originate In Wuhan Seafood Market.
","conspiracy
",
"The more you know.
","unreliable
",
"New Coronavirus Cases In California, Oregon, & Washington Suggest Community Spread: Officials.
","conspiracy
",
"Sport world wide under threat from Coronavirus. With many already cancelled or postponed. E…
","unreliable
",
"Heres how theyre preventing the #CoronavirusOutbreak in Afghanistan... You kids dont try this at home 🙄.
","conspiracy
",
"This is great news.... However... By the time this vaccine goes into production, the body…
","unreliable
",
"*chuckles in #Collapsitarian * The Countries Best And Worst Prepared For An Epidemic.
","conspiracy
",
"MAybe the Islamic leaders & should get together and go bowling or something.
","conspiracy
",
"lmao wat.
","unreliable
",
"North Koreas First Confirmed Coronavirus Case Eradicated: Patient Executed.
","conspiracy
",
"Slavoj Zizek: Coronavirus is ‘Kill Bill’-esque blow to capitalism and could lead to reinvention of communism.
","conspiracy
",
"Report: Outbreak of idiocy spreading 10,000 times faster than #Coronavirus vía.
","unreliable
",
"What is this ?
","unreliable
",
"Kim does not f-ck around 😎 North Koreas First Confirmed Coronavirus Patient Shot Dead.
","conspiracy
",
"Miles Guo: The global economy will be negative growth, and its not just China! - Gnews.
","unreliable
",
"Did Ms. DeLauro happen to mention how Obama handled the H1N1 Epidemic ?
","political/bias
",
"Coronavirus Fears Prompt 200-Foot Surgical Mask To Be Mounted Over Docking Cruise Ship.
","unreliable
",
"China Manufacturing PMIs Crash To Record Low.
","conspiracy
",
"Democrats Demand Open Borders for the Coronavirus Their only hope for victory is infecting America.
","political/bias
",
"And Trump did good to cut these scammers off. WHO is part of the problem.,.
","conspiracy
",
"Travelers appalled by lack of screening at NYC airports amid coronavirus outbreak.
","conspiracy
",
"Here Are The 425 Billion Reasons Why WHO Refuses To Call The Covid-19 Outbreak A ""Pandemic"".
","conspiracy
",
"Not 15 people! #TrumpliedPeopledied #Coronavid19 #CoronaVirusUpdate.
","unreliable
",
"BUSTED! AGAIN! Democrats Are Lying About Coronavirus, Trump Slashing CDC, And Even the APs Calling Them Out.
","unreliable
",
"Coalition Unwilling To Address Coronavirus Until It Knows Exactly How Much It Will Cost : #auspol #australiapm.
","unreliable
",
"India Suspends Visas For Iranians To Restrict Possible Spread Of Novel Coronavirus.
","unreliable
",
"Media Using Virus To Take Trump Down.
","unreliable
",
"Trump is considering closing the border with Mexico to control the spread of made-in-China Xivirus.
","unreliable
",
"That was fast. Leave it to the Americans to go big.
","unreliable
",
"Bernie as bad as… coronavirus?! CNN host compares ‘unstoppable’ Sanders to deadly disease (VIDEO).
","unreliable
",
"didnt see this coming, but so glad to read..
","political/bias
",
"President Trump misidentifies first patient in US to die from coronavirus - Daily Mail.
","unreliable
",
"First Drug shortage due to Coronavirus US.
","unreliable
",
"Australians panic buying in Coles and grocery stores as coronavirus fears grow - Daily Mail.
","unreliable
",
"#CoronavirusOutbreak #coronavirus as the world #Prayer prays #ashwednesday2020.
","political/bias
",
"Not 15 people! #TrumpliedPeopledied #CoronaVirusUpdate #CoronavirusOutbreak.
","unreliable
",
"Hes making Xi look like a softie!
","conspiracy
",
"MN Wow, state of emergency, we are going down the road to medical martial law, losing our r…
","conspiracy
",
"The Countries Best And Worst Prepared For An Epidemic #SARSCoV2 #COVID19.
","conspiracy
",
"11 Cases of Coronavirus Found in TEXAS: Planes Trump Ordered Back Landed in California and Texas.
","unreliable
",
"81 percent currently, It always gets worse, before it gets better.
","conspiracy
",
"#Countdown #KiwiSaver #NZvsIND #jacinda.
","unreliable
",
"Chinas economy to grow 15% in Q2 as it recovers from coronavirus – JPMorgan — RT Business News.
","unreliable
",
"Earth to Climate Alarmists: Warming Is Good - American Thinker #NeverLetADeasterGoToWaste #TheBigLie #coronavirus.
","political/bias
",
"Islamitische imams worden met de dag idioter: Afghanistan: Imams say Qur’an verses worn on…
","conspiracy
",
"Coronavirus Deaths, Infections EXPLODE In Iran, Iranian Official Admits Iran Is Lying #Coronavirus (#COVID19).
","political/bias
",
