Rumor,Lable,sentiment
"US Spy Agencies Monitor Covid-19 Spread, Warn Of Threat To Indias 1BN+ Population.
","conspiracy
",Neutral-Neutral
"TV Doctors Defend Trump, Slam Media For Coronavirus Coverage.
","unreliable
",Neutral-Neutral
"Media Claims Trump Called Coronavirus A ‘Hoax.’ Here’s What He Actually Said.
","political/bias
",Neutral-Neutral
"Dems Keep Blasting Trumps Coronavirus Plan, But Have No Clue What To Do Themselves.
","unreliable
",Negative-Anger
"DONT MISS.
","conspiracy
",Neutral-Neutral
"Reality check - Not good. . Trunews has a very sobering report from a California Rep. Jo…
","conspiracy
",Negative-Anger
"WTF is going on with CDC!
","conspiracy
",Very negative-Anger
"Dems Are Lying About Coronavirus Trump Slashing CDC, And Even the APs Calling Them Out.
","unreliable
",Very negative-Anger
"#INFO #HEALTH #Economics ‘Coronavirus fears drop net worth of 500 richest people in the world by $444BILLION ‘.
","unreliable
",Negative-Neutral
"If Gun Murders Are Epidemic, Why Does NYT Call 10,000 Late-Term Abortions Exceedingly Rare?
","unreliable
",Negative-Anger
"MULTIPLE community outbreaks tracking in California as coronavirus set to explode across USA beginning next week.
","unreliable
",Neutral-Neutral
"This Is A Nightmare: Londons Worst-Case Plan For Coronavirus Includes Giant Morgue In Hyde Park.
","conspiracy
",Negative-Sadness
"The Cabal is collaborating to hype this and sink Trumps roaring economy.
","unreliable
",Negative-Sadness
"SAD: Fake News Media Attempts to Re-Brand Chinese Coronavirus Pandemic as the Trumpvirus.
","unreliable
",Negative-Neutral
"Afghanistan: Imams say Qur’an verses worn on clothes can prevent coronavirus - WOULD RATHER HAVE CORONAVIRUS.
","conspiracy
",Neutral-Neutral
"Democratic Congressman Threatens Trump Jr. with a Serious Altercation Over Coronavirus Comments.
","unreliable
",Negative-Sadness
"Coronavirus Cant Explain Tanking Stock Market, But Bernies Success Can: Economist.
","unreliable
",Negative-Neutral
"Kim Jong Un Threatens To Execute Politburo Members If They Fail To Contain Coronavirus Outbreak.
","conspiracy
",Neutral-Neutral
"See There’s Aways An Upside To A Pandemic!😁. ☮️💙😎.
","unreliable
",Positive-Happiness
"First Coronavirus Death in America Confirmed in Washington State.
","unreliable
",Neutral-Neutral
"The Democrat Party’s radicalism.
","political/bias
",Neutral-Neutral
"Sanders Mocks Pence & #038 Millions of Americans Christian Faith with Offensive Coronavirus Comment.
","unreliable
",Negative-Anger
"Protect yourself.
","unreliable
",Neutral-Neutral
"By Monica Showalter: Jake Tapper calls out Democrat Ted Lieu for lying about Trump and coronavirus.
","political/bias
",Neutral-Neutral
"I guess it is the end of days for them.....#irony.
","conspiracy
",Neutral-Neutral
"Most #viral News Now: Amazing NASA images show how pollution has CLEARED over China.
","unreliable
",Positive-Happiness
"#Coronavirus - Its Time To Press Your Government To React Faster.
","political/bias
",Neutral-Neutral
"I Knew My Number Was Up - An American Coronavirus Patient Speaks Out.
","conspiracy
",Negative-Sadness
"PLRASE🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏DO IT AND SEE HOW IT WIRKS! 😜😷😄👍👋👋😉.
","conspiracy
",Neutral-Neutral
"Over-60s urged to avoid crowds as coronavirus panic spreads.
","unreliable
",Neutral-Neutral
"WUHAN USA ""I Knew My Number Was Up"" - An American Coronavirus Patient Speaks Out.
","conspiracy
",Negative-Sadness
"Amazing how how much the air has cleared due to #COVID2019 #CoronaVirusUpdate.
","unreliable
",Positive-Happiness
"Four Key Points About Coronavirus And The Democrats’ Political Games #news #politics…
","political/bias
",Neutral-Neutral
"China can do Coronavirus tests in 15 minutes. The US takes up to four days! Ridiculous!
","unreliable
",Negative-Anger
"Sanders Mocks Pence & Millions of Americans Christian Faith with Offensive #Coronavirus Comment.
","unreliable
",Negative-Anger
"Global warming is fixed.
","unreliable
",Positive-Happiness
"ANN ALTHOUSE: The deceptiveness of Politico’s claim that Trump called the coronavirus “a hoax.” “T…
","political/bias
",Neutral-Neutral
"Rush Limbaugh Scorches Media For Politicizing Coronavirus: ‘You Ought To Damn Well Be Ashamed’.
","conspiracy
",Negative-Anger
"‘BDS THIS’: Israel Makes ‘Exciting Breakthrough’ In Race For Coronavirus Vaccine.
","political/bias
",Negative-Neutral
"I will pay any price for drugs and vaccines to clear all my China viruses. If I dont have…
","unreliable
",Neutral-Neutral
"Secretive military base outside Paris hit by coronavirus, French defense minister confirms — RT World News.
","unreliable
",Neutral-Neutral
"Iranian Deputy Health Minister Infected by Coronavirus After Briefing Press on Response - Big League Politics.
","unreliable
",Neutral-Neutral
"Dems Are Lying About Coronavirus & #038 Trump Slashing CDC, And Even the AP& #8217 s Calling Them Out.
","unreliable
",Negative-Anger
"CNN is among the more aggressive mainstream left political activist organizations.
","unreliable
",Neutral-Neutral
"Sanders Mocks Pence & #038 Millions of Americans& #8217 Christian Faith with Offensive Coronavirus Comment.
","unreliable
",Negative-Anger
"Dr. Aylward on the need to slow transmission.
","political/bias
",Neutral-Neutral
"#DEMOCRATS Keep Blasting Trumps Coronavirus Plan, But Have No Clue Or Offer What To Do Themselves !
","unreliable
",Negative-Anger
"Already happening according to Zerohedge.
","conspiracy
",Neutral-Neutral
"No, Its Not the Corona Beer Virus. Lawd. #NewsandPolitics.
","political/bias
",Neutral-Neutral
"Dems Are Lying About Coronavirus & Trump Slashing CDC, And Even the APs Calling Them Out.
","unreliable
",Negative-Anger
"North Koreas First Confirmed Coronavirus Patient Shot Dead.
","conspiracy
",Negative-Neutral
"Leaked documents reveal Wuhan coronavirus infections up to 52 times HIGHER than official Chinese figures.
","conspiracy
",Negative-Neutral
"First Death in Washington from Coronavirus, President Trump Says Expect More Cases #Culture…
","political/bias
",Negative-Sadness
"Outrageous New York Times Piece Calls for Coronavirus To Be Named After Trump.
","unreliable
",Neutral-Neutral
"China reported 44 deaths and 327 new cases on 28 February, which is the lowest tally in over a month.
","unreliable
",Neutral-Neutral
"CDC Official Helping Spook Trumps Economy with Coronavirus Fears Is Rod Rosensteins Sister.
","unreliable
",Neutral-Neutral
"Elizabeth Warren Rolls Out Coronavirus Plan That De-Funds Border Security - Shes a Moron.
","unreliable
",Neutral-Neutral
"CNNs Michael Smerconish is slammed for comparing Senator Bernie Sanders to CORONAVIRUS - Daily Mail.
","unreliable
",Negative-Anger
"As Coronavirus Rips Through Italy, Lets Revisit The ""Political Correctness"" That May Have Helped Speed it Along.
","unreliable
",Neutral-Neutral
"Pope taken ill day after showing solidarity with coronavirus sufferers.
","unreliable
",Neutral-Neutral
"just couldnt help yourselves eh? God fucking forbid they have a piece of h…
","unreliable
",Very negative-Anger
"This Is Serious - Virus Hunter Who Discovered Ebola Discusses Worst-Case Scenario For Coronavirus.
","conspiracy
",Negative-Fear
"Coronavirus Reappearing Weeks Later In Discharged Patients.
","conspiracy
",Neutral-Neutral
"Coronavirus outbreak could send the US economy into RECESSION - Daily Mail.
","unreliable
",Neutral-Neutral
"Oregon Officials Confirm Third Coronavirus Case “Of Unknown Origin” Risk Of “Community Outbreak” Is High.
","conspiracy
",Neutral-Neutral
"February 29 Updates on COVID-19 Pandemic.
","unreliable
",Neutral-Neutral
"These people are stupid.
","unreliable
",Negative-Neutral
"Trumps Decisive Actions Helped Save Lives During Coronavirus Epidemic, Experts Admit News and Politics.
","political/bias
",Positive-Happiness
"✨1️⃣7️⃣✨ Message that #Patriots are in control and the #Coronavid19 #coronavirus is no real threat..?
","unreliable
",Positive-Happiness
"425 billion reasons. #Herätys #QSentMe #QAnon #Redpill #GreatAwakening #WWG1WGAWORLDWIDE #UnitedNotDivided #QmapPub.
","conspiracy
",Neutral-Neutral
"Dems Are Lying About Coronavirus, Trump Slashing CDC, And Even the APs Calling Them Out.
","unreliable
",Negative-Anger
"Man kept in coronavirus quarantine cant stop coughing, taking water from 3-year-old daughter.
","unreliable
",Negative-Sadness
"81% Of South Korean ‘End Of Days’ Worshippers Test Positive For Coronavirus.
","conspiracy
",Neutral-Neutral
"Five Things You Probably Dont Know About the Coronavirus #AAG #AAG2020.
","political/bias
",Neutral-Neutral
"Fortify your immune system. I suggest Silver Immune Gargle from InfoWars Store. #CoronaVirusUpdate.
","conspiracy
",Neutral-Neutral
"Americans Ditching Corona Beer Over Virus Concerns.
","unreliable
",Neutral-Neutral
"2020 Tokyo Olympics Will Proceed as Scheduled Despite Concerns About Coronavirus.
","unreliable
",Neutral-Neutral
"China: Rise, Fall and Re-Emergence as a Global Power - Global Research.
","conspiracy
",Neutral-Neutral
"Iran Blasts US Offer To Help Fight Coronavirus As ""Political-Psychological Game"".
","conspiracy
",Neutral-Neutral
"Fighting #Coronavirus Means ‘Keeping Sick People Out,’ Chief Says.
","political/bias
",Negative-Neutral
"Naw, it’s fake.
","unreliable
",Negative-Neutral
"LOL. Not these guys though... (nor me).
","unreliable
",Neutral-Neutral
"Chinese military website: Wuhan #Coronavirus is manmade by the U.S.
","unreliable
",Neutral-Neutral
"Coronavirus: How To Protect Yourself Against The Deadly Disease.
","clickbait
",Neutral-Neutral
"New York Stock Exchange considers shutting its trading floor amid coronavirus concerns Daily Mail Online.
","unreliable
",Neutral-Neutral
"CDC has confirmed a pandemic of stupid..
","unreliable
",Negative-Neutral
"Head of the WHO seems to disagree with you.
","political/bias
",Neutral-Neutral
"Coronavirus fears drop net worth of 500 richest by $444BILLION.
","unreliable
",Negative-Neutral
"First Australian death from #coronavirus #travel #healthcare #CoronavirusOutbreak #Covid19.
","unreliable
",Neutral-Neutral
"Warren, Asked About Coronavirus, Attacks Trump’s ‘Racist Wall’.
","political/bias
",Neutral-Neutral
"Bill Gates: Coronavirus may be ‘once-in-a-century pathogen we’ve been worried about’.
","conspiracy
",Neutral-Neutral
"It seems the jury is still out.
","unreliable
",Neutral-Neutral
"WHO raises global coronavirus threat level to very high #news #health.
","unreliable
",Neutral-Neutral
"Holly Molly Batman ! 81% Of South Korean End Of Days Worshipers Test Positive For #coronavirusus.
","conspiracy
",Neutral-Neutral
"So this is how we stop climate change. Shut down the factories that produce shit that we dont need.
","unreliable
",Positive-Neutral
"Mark Levin Blasts Democrats For Dithering With Impeachment As Coronavirus Spread #NewsandPolitics.
","political/bias
",Neutral-Neutral
"Apparently China controlled the Port of Long Beach. Until Trump became president, that is.
","political/bias
",Neutral-Neutral
"Dont Test, Dont Tell! #Coronavirus #Covid19 #SARSCoV2.
","conspiracy
",Negative-Neutral
"President Trump Scores Victory For U.S. In On-Going China Trade War Farmers Get Major Boost #SuperTrump.
","unreliable
",Positive-Happiness
"Dont visit your GP if you think you have coronavirus - Daily Mail.
","unreliable
",Neutral-Neutral
"Study finds that Coronavirus could survive up to NINE DAYS outside the body - Daily Mail.
","unreliable
",Neutral-Neutral
"Coronavirus cruise ship survivor, 66, reveals the deadly disease hits hard and fast - Daily Mail.
","unreliable
",Neutral-Neutral
"New Jersey hospital isolates patient suspected of having the coronavirus - Daily Mail.
","unreliable
",Neutral-Neutral
"#France Bans gatherings of more than 5,000 as thousands face testing in #coronavirus-hit #Iran.
","unreliable
",Neutral-Neutral
"CDC Official Helping Spook Trump& #8217 s Economy with Coronavirus Fears Is Rod Rosenstein& #8217 s Sister.
","unreliable
",Neutral-Neutral
"Fears for 50 at nursing facility amid first US coronavirus death as Trump says not to panic Daily Mail Online.
","unreliable
",Neutral-Neutral
"CDC did this: Dont Test, Dont Tell!"".
","conspiracy
",Negative-Neutral
"Italy police raid Venice mosque during prayer for ignoring coronavirus rules.
","unreliable
",Neutral-Neutral
"I never knew of this new SK religion until this virus popped up.
","conspiracy
",Neutral-Surprise
"Well, thats one approach and probably more effective than tax-cuts and building a wall...
","unreliable
",Positive-Happiness
"As The Coronavirus Spreads, Survival Gear Keeps Selling Out!
","unreliable
",Negative-Neutral
"WHO Elevates Coronavirus Threat to Highest Level.
","conspiracy
",Neutral-Neutral
"CORONAVIRUS IS JUST THE TIP OF THE ICEBERG IN THE WAR AGAINST US.
","conspiracy
",Negative-Neutral
"Its Not Coronavirus We Should Worry About, Its What Might Come After It Belmont Club.
","political/bias
",Negative-Sadness
"Who is Uninformed and Uneducated About China and its Virus?
","unreliable
",Negative-Neutral
"Dr. Zhang Wenhong believed the Novel Coronavirus originated in Wuhan.
","unreliable
",Negative-Neutral
"subscribe to our YouTube channel(Mr. Community)devoted to helping our homeless and less for…
","unreliable
",Negative-Neutral
"Hes hiding out from the corona virus — which is flowing into Italy through its unprotected borders.
","unreliable
",Negative-Neutral
"Some people are vindictive af.
","unreliable
",Negative-Neutral
"Thank you President Trump!
","political/bias
",Very positive-Happiness
"Health chiefs fear TEN PERCENT of Brits could be hospitalised with Coronavirus - Express.
","unreliable
",Neutral-Neutral
"Video: Father Fresh Out Of Coronavirus Quarantine Repeatedly Coughs On Air.
","conspiracy
",Neutral-Neutral
"Study Shows People Can Transmit Coronavirus Without Showing Symptoms.
","conspiracy
",Neutral-Neutral
"Breaking: First Coronavirus Death Confirmed in U.S.
","conspiracy
",Neutral-Neutral
"More on the lefty hoax liars. ... Media Claims Trump Called Coronavirus A ‘Hoax.’ Here’s What He Actually Said.
","political/bias
",Negative-Neutral
"#pol #politics #news Sun Mar 1 02:36:12 2020 < 643f1644> <.
","conspiracy
",Neutral-Neutral
"Depopulation for Profit? Bill Gates funded the PIRBRIGHT institute, which owns the patent on coronavirus.
","unreliable
",Negative-Sadness
"WHOA #Outbreak.
","conspiracy
",Neutral-Neutral
"Sharing first hand value experience to empower others. #sharingiscaring.
","unreliable
",Neutral-Neutral
"Coronavirus could destroy Donald Trump’s reelection bid according to top expert.
","unreliable
",Neutral-Neutral
"Elizabeth Warren Rolls Out Coronavirus Plan That De-Funds Border Security You’re finished WITCH!!!
","unreliable
",Very negative-Anger
"Instapundit »» CORONAVIRUS: Mainland China reports 573 new coronavirus cases on Feb. 29. The coronavirus outbre…
","political/bias
",Neutral-Neutral
"China orders school books be destroyed and reprinted with thoughts of hero Xi Jinping.
","unreliable
",Neutral-Neutral
"Inquiring minds want to know...
","conspiracy
",Neutral-Neutral
"#Republicans Walk Out of #Coronavirus Briefing After #Democrats Play Politics With the Crisis.
","political/bias
",Neutral-Neutral
"CORONAVIRUS CRISIS: Steven Mosher – The Phaser.
","conspiracy
",Neutral-Neutral
"#Oregon Officials Confirm Third #Coronavirus Case ""Of Unknown Origin"" Risk Of ""Community Outbreak"" Is High.
","conspiracy
",Neutral-Neutral
"Jimmy Lais Warning About China #TheRosettReport.
","political/bias
",Neutral-Neutral
"U.S. Military Prepares For Coronavirus Pandemic.
","unreliable
",Neutral-Neutral
"CORONAVIRUS UPDATE: Some Covid-19 speculations….
","political/bias
",Neutral-Neutral
"Two New Community-Spread #Coronavirus Cases Found In Northern #California, #Oregon.
","political/bias
",Neutral-Neutral
"Coronavirus Deaths, Infections EXPLODE In Iran, Iranian Official Admits Iran Is Lying.
","unreliable
",Neutral-Neutral
"BREAKING: U.S. Adds Nations To Travel Restrictions As Trump Assures Nations On Coronavirus.
","unreliable
",Neutral-Neutral
"Does China Outspend US on Defense? - Godfree Roberts.
","political/bias
",Neutral-Neutral
"Coronavirus symptoms: How to test for the virus as 23 cases confirmed in the UK - Express.
","unreliable
",Neutral-Neutral
"The deadly cruise infection.
","unreliable
",Neutral-Neutral
"Numbers Show Coronavirus Appears Far Less Deadly Than Flu, But Govt, Media Keep Promoting Panic.
","unreliable
",Neutral-Neutral
"Miles Guo: The global economy will be negative growth, and it’s not just China!
","unreliable
",Negative-Sadness
"Amazing NASA images show how pollution has CLEARED over China Daily Mail Online.
","unreliable
",Positive-Happiness
"Context.
","conspiracy
",Neutral-Neutral
"Dems Are Lying About Coronavirus and Trump Slashing CDC Even the APs Calling Them Out.
","unreliable
",Negative-Anger
"#China Orders Owners Of Closed Factories To Boost Electricity Usage, Pretend #Economy Is Back To Normal.
","conspiracy
",Neutral-Neutral
"#Australia has reported its first death due to the coronavirus #BreakingNews #Coronavirus…
","conspiracy
",Neutral-Neutral
"Coronavirus and NSA Spying: Together at Last?
","conspiracy
",Neutral-Neutral
"The trail of the Italian coronavirus super-spreader revealed.
","unreliable
",Neutral-Neutral
"As part of its virus-suppression efforts, South Korea has sent its troops to disinfect the streets of Daegu.
","conspiracy
",Neutral-Neutral
"Coronavirus Con: Vaccinate, Depopulate & Chip Mankind ""An alarming proportion would be eq…
","conspiracy
",Neutral-Neutral
"World News (Feb 29, 2020 EDN): “Momentous Day”: US, Taliban Sign Peace Deal To End 18 Year War #BreakingNews.
","conspiracy
",Neutral-Neutral
"Trump Says the Coronavirus Is the Democrats New Hoax #NewsandPolitics.
","political/bias
",Neutral-Neutral
"Leaked Internal Reports Show Chinas Main Priorities Are Controlling Public Opinion, Social Stability.
","conspiracy
",Neutral-Neutral
"Arsenal and Tottenham take safety measures because of coronavirus #AFC #THFC.
","unreliable
",Neutral-Neutral
"This is what he said word for word, Nick.
","political/bias
",Neutral-Neutral
"I get it now.
","unreliable
",Neutral-Neutral
"Why is this so upsetting? Liberals call men “women” all the time and no one blinks an eye. 🤷🏼‍♀️😏.
","unreliable
",Negative-Sadness
"Coronavirus could be 1,000 times more infectious than SARS, scientists warn.
","unreliable
",Negative-Sadness
"Everyone calm down...please.
","unreliable
",Neutral-Neutral
"Heres what he REALLY said! 👇👇.
","political/bias
",Neutral-Neutral
"Sanders Mocks Pence & Millions of Americans Christian Faith with Offensive Coronavirus Comment.
","unreliable
",Negative-Anger
"Trump And The Politics Of Coronavirus.
","conspiracy
",Neutral-Neutral
"The Countries Best And Worst Prepared For An Epidemic.
","conspiracy
",Neutral-Neutral
"Petition Calls on Trump to Impose Strict Border Control in Response to #Coronavirus.
","conspiracy
",Neutral-Neutral
"CDC Takes Responsibility for Dementia Donnies Huge Mistake Identifying First Coronavirus as a Woman.
","unreliable
",Negative-Sadness
"Islamic Republic is Now Ground Zero for Deadly Coronavirus - Frontpagemag.
","political/bias
",Neutral-Neutral
"Democrats Demand Open Borders for the Coronavirus - Frontpagemag.
","political/bias
",Neutral-Neutral
"“This Is A Nightmare”: London’s Worst-Case Plan For #Coronavirus Includes Giant Morgue In Hyde Park.
","conspiracy
",Negative-Sadness
"Liverpool could miss out on title if coronavirus cuts league short.
","unreliable
",Neutral-Neutral
"Watch: President Trump Considers Closing Southern Border Over #Coronavirus Outbreak.
","conspiracy
",Neutral-Neutral
"#Covid19 Nigerian officials offered some more details about their first case on Friday firs…
","conspiracy
",Neutral-Neutral
"Rush Limbaugh Scorches Media For Politicizing #Coronavirus: ‘You Ought To Damn Well Be Ashamed’.
","conspiracy
",Negative-Anger
"Shock Video: Food Hoarding Begins at Costco in New York Over #Coronavirus Fears.
","conspiracy
",Negative-Surprise
"Survey: Many American beer drinkers are avoiding Corona due to the spread of #coronavirus.
","unreliable
",Neutral-Neutral
"#Coronavirus Fears Continue to Spark Panic Buying in U.S., UK, Japan & New Zealand.
","conspiracy
",Neutral-Neutral
"Lebanese Students Sprayed With Disinfectant To Prevent #Coronavirus.
","conspiracy
",Neutral-Neutral
"5g is not about speed.
","conspiracy
",Neutral-Neutral
"Corona-Crash Sparks Fastest ‘Correction’ In History On Record-Breaking Volume.
","unreliable
",Neutral-Neutral
"Pompeo adds insult to injury by dangling coronavirus ‘help’ in front of sanctions-stricken Iran — RT World News.
","unreliable
",Neutral-Neutral
"STOP LYING! Heres what he REALLY said 👇👇👇.
","political/bias
",Very negative-Anger
"Once again, Bill Maher proves what a flaming idiot he is.
","unreliable
",Negative-Disgust
"We are talking about a site pushing the idea that Covid was made by Canada and stolen by China.
","conspiracy
",Neutral-Neutral
"Awesome. 🤦‍♂️.
","unreliable
",Positive-Happiness
"Pope Francis cancels official engagements for third day in a row.
","unreliable
",Neutral-Neutral
"its called 3 squeak. 2020 is the year the world wakes up to China.
","unreliable
",Neutral-Neutral
"Everyone panic!!!🙄.
","unreliable
",Very negative-Sadness
"Coronavirus death toll in Italy jumps to 29 as number of infected passes 1,000 — RT Newsline.
","unreliable
",Neutral-Neutral
"And how much #Coronavirus ?
","unreliable
",Neutral-Neutral
"Illinois Reports Another ""Presumptive"" Coronavirus Case.
","conspiracy
",Neutral-Neutral
"No he didnt! You freaking LIAR! Heres what he REALLY said 👇👇.
","political/bias
",Very negative-Anger
"Fact Check: Did Trump call the coronavirus a hoax at his South Carolina rally?
","political/bias
",Neutral-Neutral
"Instapundit » » WELL, THAT’S NOT GOOD: Washington State Is Investigating Potential Outbreak at Facility. Washington.
","political/bias
",Negative-Neutral
"Republicans Walk Out of Coronavirus Briefing After Democrats Play Politics With the Crisis News and Politics.
","political/bias
",Neutral-Neutral
"BREAKING: Biden Projected To Win South Carolina *OldGroperJoe #Deranged #Disoriented…
","political/bias
",Neutral-Surprise
"The great panic of 2020 is underway in the US #CoronaVirus.
","conspiracy
",Negative-Sadness
"So is Trump worried that he’s going to catch the coronavirus? I loved that part!!
","political/bias
",Positive-Happiness
"Trade War Progress: China Caves, Lifts Ban on US Poultry Products.
","unreliable
",Neutral-Neutral
"Workers in China Discover Thousands of Sealed #Coronavirus COVID-19 Corpses in Body Bags.
","unreliable
",Neutral-Neutral
"#COVID2019 humor... Could sure use some about now...
","unreliable
",Neutral-Neutral
"Trump And The Politics Of Coronavirus - #zerohedge #FreeZero.
","conspiracy
",Neutral-Neutral
"17-day-old baby girl recovers from coronavirus without medication.
","unreliable
",Neutral-Neutral
"COVID-19 containment loophole: flee China other countries.
","unreliable
",Neutral-Neutral
"CDC confirms second U.S. coronavirus case of unknown origin.
","unreliable
",Neutral-Neutral
"COVID-19: Chinese students dislike online classes.
","unreliable
",Neutral-Neutral
"COVID-19: where are N95 masks? CCP wears it under another mask.
","unreliable
",Neutral-Neutral
"5/13 Successful Treatments: ...
","conspiracy
",Neutral-Neutral
"They received a pay rise #StandWithHongKong #Coronavirus #PoliceBrutality.
","unreliable
",Neutral-Neutral
"Learning experience value added knowledge.
","unreliable
",Neutral-Neutral
"Thats me fucked then.
","unreliable
",Very negative-Sadness
"Men scramble to find a personality after CDC suggests shaving beard to stop coronavirus.
","unreliable
",Neutral-Neutral
"The sky is falling...
","unreliable
",Very negative-Sadness
"Instapundit » » “ADMIT:” Trump’s Decisive Actions Helped Save Lives During Coronavirus Epidemic, Experts Admit….
","political/bias
",Neutral-Neutral
"The real problem with this coronavirus mess.
","political/bias
",Negative-Neutral
"Hollywood studios create coronavirus strategy teams to assess the business ramifications Daily Mail Online.
","unreliable
",Neutral-Neutral
"Trey Gowdy Sideswipes Adam Schiff – Calls On Congress To Cut Out The ‘Epidemic Leaker’.
","unreliable
",Neutral-Neutral
"Hungary prepares itself for a two-front war invaders from the south and coronavirus - Voice of Europe.
","unreliable
",Neutral-Neutral
"CDC official: DO NOT get prepared, don’t buy masks, food, cleaning supplies or anything A PC puppet and MORON!!!
","conspiracy
",Very negative-Anger
"New York Stock Exchange considers shutting trading floor amid #coronavirus fears #business…
","unreliable
",Neutral-Neutral
"IT’S LIKE BEFORE A BLIZZARD: Coronavirus fears empty store shelves of toilet paper, bottled water, m…
","political/bias
",Neutral-Neutral
"of course its man made.
","conspiracy
",Negative-Neutral
"Potential shutdown.
","unreliable
",Neutral-Neutral
"Nothing CNN does surprises me any more but this is a bit far-fetched and unbelievable.
","unreliable
",Neutral-Surprise
"... well, they have the first cure for the patient also the fastest one among the other country. i.
","conspiracy
",Positive-Happiness
"WT actual F Over 50 staff and residents at nursing home have coronavirus symptoms #SmartNews.
","unreliable
",Neutral-Neutral
"The fact is we are the best/most prepared The United States was named as the c…
","conspiracy
",Positive-Happiness
"Rods SISTER??????
","unreliable
",Neutral-Surprise
"Dems Are Lying About Coronavirus & Trump Slashing CDC, And Even the AP’s Calling Them Out.
","unreliable
",Negative-Anger
"Wow. Just wow. Israel is undoubtedly Gods sweetheart.
","unreliable
",Positive-Happiness
"So a 17 day old baby recovers with no meds from the Corona Virus Yet the whole world is panicking.
","unreliable
",Neutral-Neutral
"Did 1981 Dean Koontz thriller The Eyes Of Darkness predict the coronavirus outbreak?
","unreliable
",Neutral-Neutral
"Mother Natures way of saying here have your pollution back.
","unreliable
",Neutral-Neutral
"The real problem with this coronavirus mess - Palmer Report.
","political/bias
",Neutral-Neutral
"Trump Blasts Democrats For ‘Wasting Time’ Amid Growing Coronavirus Threat #news #politics…
","political/bias
",Neutral-Neutral
"81% of Korean religious cult members test positive for coronavirus.
","conspiracy
",Neutral-Neutral
"Amid #coronavirus #COVID2019 #COVID.
","unreliable
",Neutral-Neutral
"AP Fact Check: Democrats Coronavirus Attacks Against Trump Are Inaccurate.
","unreliable
",Neutral-Neutral
"Lets play, bitches.
","political/bias
",Negative-Anger
"crushes it once again.
","political/bias
",Negative-Sadness
"Men scramble to find a personality after CDC suggests shaving beard to stop #coronavirus #satire.
","unreliable
",Neutral-Neutral
"Numbers Show Coronavirus Appears Far Less Deadly Than Flu Media Keep Promoting Panic.
","unreliable
",Neutral-Neutral
"Heres Why I Dont Really Trust The Official American Coronavirus Numbers.
","conspiracy
",Negative-Disgust
"One big system to control the minds of men.
","conspiracy
",Negative-Neutral
"Was the 2020 Wuhan Coronavirus an engineered biological attack on China by America for geopolitical advantage?
","political/bias
",Neutral-Neutral
"Boris Johnson could SUSPEND Parliament over coronavirus and rule with emergency powers.
","unreliable
",Neutral-Neutral
"So wrong, all the time.
","political/bias
",Negative-Disgust
